sid,lid
576,1605
577,1601
577,1602
577,1605
578,1601
578,1602
578,1605
579,1601
579,1602
579,1605
580,1601
580,1602
580,1605
581,1601
581,1602
581,1605
582,1601
582,1602
582,1605
583,1601
583,1602
583,1605
584,1601
584,1602
584,1605
585,1601
585,1602
585,1605
586,1601
586,1602
586,1605
587,1601
587,1602
587,1605
588,1601
588,1602
588,1605
589,1601
589,1602
589,1605
590,1601
590,1602
590,1605
591,1601
591,1602
591,1605
592,1601
592,1602
592,1605
593,1601
593,1602
593,1605
594,1601
594,1603
594,1606
595,1601
595,1602
595,1605
596,1601
596,1603
596,1607
597,1601
597,1602
597,1605
598,1601
598,1604
598,1606
599,1601
599,1602
599,1605
600,1601
600,1602
600,1605
601,1601
601,1602
601,1605
602,1601
602,1602
602,1605
603,1601
603,1602
603,1605
604,1601
604,1602
604,1605
605,1601
605,1602
605,1605
606,1601
606,1602
606,1605
607,1601
607,1602
607,1605
608,1601
608,1602
608,1605
609,1601
609,1604
609,1607
610,1601
610,1602
610,1605
611,1601
611,1602
611,1605
612,1601
612,1603
612,1606
613,1601
613,1602
613,1605
614,1601
614,1602
614,1605
615,1601
615,1602
615,1605
616,1601
616,1602
616,1605
617,1601
617,1602
617,1605
618,1601
618,1602
618,1605
619,1601
619,1602
619,1605
620,1601
620,1602
620,1605
621,1601
621,1604
621,1607
622,1601
622,1602
622,1605
623,1601
623,1602
623,1605
624,1601
624,1602
624,1605
625,1601
625,1602
625,1605
626,1601
626,1602
626,1605
627,1601
627,1602
627,1605
628,1601
628,1602
628,1605
629,1601
629,1604
629,1606
630,1601
630,1602
630,1605
631,1601
631,1602
631,1605
632,1601
632,1602
632,1605
633,1601
633,1602
633,1605
634,1601
634,1602
634,1605
635,1601
635,1602
635,1605
636,1601
636,1602
636,1605
637,1601
637,1602
637,1605
638,1601
638,1602
638,1605
639,1601
639,1602
639,1605
640,1601
640,1602
640,1605
641,1601
641,1602
641,1605
642,1601
642,1603
642,1607
643,1601
643,1603
643,1606
644,1601
644,1604
644,1607
645,1601
645,1604
645,1606
646,1601
646,1603
646,1607
647,1601
647,1603
647,1606
648,1601
648,1602
648,1605
649,1601
649,1604
649,1607
650,1601
650,1603
650,1606
651,1601
651,1603
651,1607
652,1601
652,1604
652,1606
653,1601
653,1604
653,1607
654,1601
654,1603
654,1606
655,1601
655,1602
655,1605
656,1601
656,1602
656,1605
657,1601
657,1602
657,1605
658,1601
658,1603
658,1607
659,1601
659,1604
659,1606
660,1601
660,1604
660,1607
661,1601
661,1603
661,1606
662,1601
662,1603
662,1607
663,1601
663,1602
663,1605
664,1601
664,1604
664,1606
665,1601
665,1604
665,1607
666,1601
666,1603
666,1606
667,1601
667,1603
667,1607
668,1601
668,1604
668,1606
669,1601
669,1602
669,1605
670,1601
670,1603
670,1607
671,1601
671,1603
671,1606
672,1601
672,1604
672,1607
673,1601
673,1604
673,1606
674,1601
674,1603
674,1607
675,1601
675,1603
675,1606
676,1601
676,1604
676,1607
677,1601
677,1603
677,1606
678,1601
678,1604
678,1607
679,1601
679,1603
679,1606
680,1601
680,1602
680,1605
681,1601
681,1603
681,1607
682,1601
682,1604
682,1606
683,1601
683,1603
683,1607
684,1601
684,1603
684,1606
685,1601
685,1603
685,1607
686,1601
686,1604
686,1606
687,1601
687,1603
687,1607
688,1601
688,1603
688,1606
689,1601
689,1604
689,1607
690,1601
690,1603
690,1606
691,1601
691,1603
691,1607
692,1601
692,1602
692,1605
693,1601
693,1602
693,1605
694,1601
694,1603
694,1606
695,1601
695,1603
695,1607
696,1601
696,1602
696,1605
697,1601
697,1604
697,1606
698,1601
698,1603
698,1607
699,1601
699,1604
699,1606
700,1601
700,1604
700,1607
701,1601
701,1603
701,1606
702,1601
702,1603
702,1607
703,1601
703,1603
703,1606
704,1601
704,1603
704,1607
705,1601
705,1604
705,1606
706,1601
706,1603
706,1607
707,1601
707,1603
707,1606
708,1601
708,1604
708,1607
709,1601
709,1604
709,1606
710,1601
710,1603
710,1607
711,1601
711,1602
711,1605
712,1601
712,1603
712,1606
713,1601
713,1603
713,1607
714,1601
714,1604
714,1606
715,1601
715,1603
715,1607
716,1601
716,1604
716,1606
717,1601
717,1604
717,1607
718,1601
718,1604
718,1606
719,1601
719,1603
719,1607
720,1601
720,1603
720,1606
721,1601
721,1604
721,1607
722,1601
722,1604
722,1606
723,1601
723,1604
723,1607
724,1601
724,1604
724,1606
725,1601
725,1604
725,1607
726,1601
726,1603
726,1606
727,1601
727,1602
727,1605
728,1601
728,1603
728,1607
729,1601
729,1604
729,1606
730,1601
730,1603
730,1607
731,1601
731,1603
731,1606
732,1601
732,1604
732,1607
733,1601
733,1603
733,1606
734,1601
734,1604
734,1607
735,1601
735,1603
735,1606
736,1601
736,1603
736,1607
737,1601
737,1604
737,1606
738,1601
738,1602
738,1605
739,1601
739,1602
739,1605
740,1601
740,1604
740,1607
741,1601
741,1603
741,1606
742,1601
742,1603
742,1607
